student_id,name,age,gender,math_score,science_score,attendance,exam_date,average_score
1,Teresa,20.0,Female,67.0,85.0,72.0,,76.0
2,Amber,20.0,Female,67.0,70.0,65.0,,68.5
3,Sherri,18.0,Female,67.0,70.0,65.0,2024-03-05,68.5
4,Brittany,20.0,Male,67.0,85.0,90.0,,76.0
5,Daniel,18.0,Female,67.0,85.0,72.0,,76.0
6,Frederick,21.0,Female,67.0,85.0,65.0,,76.0
7,Eric,20.0,Male,55.0,85.0,80.0,,70.0
8,Carolyn,20.0,Female,88.0,85.0,72.0,,86.5
9,Frank,18.0,Female,67.0,60.0,72.0,,63.5
10,James,18.0,Male,55.0,95.0,72.0,,75.0
11,John,21.0,Female,72.0,70.0,72.0,,71.0
12,Luis,20.0,Male,55.0,60.0,65.0,2024-03-05,57.5
13,Angela,18.0,Male,91.0,85.0,72.0,,88.0
14,Allison,21.0,Female,67.0,85.0,80.0,,76.0
15,Donald,20.0,Female,88.0,85.0,72.0,,86.5
16,Kathleen,19.0,Female,67.0,95.0,72.0,,81.0
17,Rebecca,20.0,Male,67.0,85.0,72.0,,76.0
18,Sarah,21.0,Female,67.0,60.0,90.0,,63.5
19,Jennifer,21.0,Female,88.0,95.0,90.0,2024-03-05,91.5
20,John,20.0,Male,67.0,85.0,72.0,,76.0
21,Amber,21.0,Female,67.0,85.0,65.0,,76.0
22,James,21.0,Male,67.0,85.0,72.0,,76.0
23,Ronald,20.0,Female,67.0,85.0,65.0,2024-03-05,76.0
24,Evan,18.0,Female,67.0,85.0,72.0,,76.0
25,Douglas,20.0,Female,91.0,85.0,80.0,,88.0
26,Michael,20.0,Female,88.0,85.0,72.0,,86.5
27,Kimberly,21.0,Female,67.0,95.0,90.0,,81.0
28,Brittany,18.0,Male,67.0,85.0,72.0,2024-03-05,76.0
29,Elizabeth,20.0,Female,91.0,70.0,65.0,,80.5
30,Janice,19.0,Male,72.0,85.0,80.0,,78.5
